Sede,Invoice No,Date,Line,Product Code,Invoice Quantity,Unit Cost,Net Unit Price,Price List,Price Limit,Price Std,Category Name,Total
DEL,DEL1000,06/03/2026,10,ACA-169,6,7.8,9.61,10.57,9.13,9.61,Acabados,57.66
DEL,DEL1000,06/03/2026,20,TUB-352,6,13.23,17.8,19.58,16.91,17.8,Tuberías,106.8
DEL,DEL1001,19/11/2025,10,TUB-423,6,19.67,30.92,34.01,29.37,30.92,Tuberías,185.52
DEL,DEL1001,19/11/2025,20,FER-371,3,12.15,26.8,29.48,25.46,26.8,Ferretería,80.4
DEL,DEL1002,13/03/2026,10,TUB-109,2,15.5,22.34,24.57,21.22,22.34,Tuberías,44.68
DEL,DEL1002,13/03/2026,20,CEM-650,2,39.95,60.86,66.95,57.82,60.86,Cemento,121.72
DEL,DEL1002,13/03/2026,30,PLY-350,2,14.28,29.99,32.99,28.49,29.99,Plywood,59.98
DEL,DEL1003,12/01/2026,10,PLY-926,6,34.18,67.16,73.88,63.8,67.16,Plywood,402.96
DEL,DEL1003,12/01/2026,20,TUB-779,4,5.27,8.88,9.77,8.44,8.88,Tuberías,35.52
DEL,DEL1003,12/01/2026,30,PLY-860,2,35.73,60.98,67.08,57.93,60.98,Plywood,121.96
DEL,DEL1003,12/01/2026,40,CEM-308,4,14.53,19.75,21.73,18.76,19.75,Cemento,79.0
DEL,DEL1004,22/11/2025,10,CEM-194,2,13.79,20.5,22.55,19.47,20.5,Cemento,41.0
DEL,DEL1004,22/11/2025,20,TUB-889,4,34.03,44.53,48.98,42.3,44.53,Tuberías,178.12
DEL,DEL1004,22/11/2025,30,PLY-664,5,39.29,64.68,71.15,61.45,64.68,Plywood,323.4
DEL,DEL1004,22/11/2025,40,PIN-658,3,24.63,32.08,35.29,30.48,32.08,Pinturas,96.24
DEL,DEL1005,02/06/2026,10,TUB-473,4,10.18,13.73,15.1,13.04,13.73,Tuberías,54.92
DEL,DEL1005,02/06/2026,20,ELÉ-315,4,32.86,68.79,75.67,65.35,68.79,Eléctrico,275.16
DEL,DEL1005,02/06/2026,30,TUB-995,6,28.34,41.36,45.5,39.29,41.36,Tuberías,248.16
DEL,DEL1005,02/06/2026,40,CEM-985,3,26.72,31.27,34.4,29.71,31.27,Cemento,93.81
DEL,DEL1006,06/08/2025,10,ELÉ-901,4,5.87,11.85,13.04,11.26,11.85,Eléctrico,47.4
DEL,DEL1006,06/08/2025,20,FER-373,3,33.08,76.18,83.8,72.37,76.18,Ferretería,228.54
DEL,DEL1006,06/08/2025,30,PLY-979,2,29.54,52.47,57.72,49.85,52.47,Plywood,104.94
DEL,DEL1007,16/11/2025,10,PLY-328,3,37.15,65.27,71.8,62.01,65.27,Plywood,195.81
DEL,DEL1007,16/11/2025,20,PLY-891,2,11.76,20.51,22.56,19.48,20.51,Plywood,41.02
DEL,DEL1007,16/11/2025,30,PLY-439,6,27.45,49.03,53.93,46.58,49.03,Plywood,294.18
DEL,DEL1008,01/03/2026,10,ELÉ-139,4,14.14,27.23,29.95,25.87,27.23,Eléctrico,108.92
DEL,DEL1008,01/03/2026,20,PLY-546,4,20.21,40.01,44.01,38.01,40.01,Plywood,160.04
DEL,DEL1009,20/11/2025,10,PLY-101,5,25.18,42.83,47.11,40.69,42.83,Plywood,214.15
DEL,DEL1009,20/11/2025,20,CEM-472,3,33.23,46.31,50.94,43.99,46.31,Cemento,138.93
DEL,DEL1010,14/03/2026,10,ACA-837,2,37.23,52.96,58.26,50.31,52.96,Acabados,105.92
DEL,DEL1010,14/03/2026,20,ELÉ-512,4,22.75,44.98,49.48,42.73,44.98,Eléctrico,179.92
DEL,DEL1011,23/11/2025,10,TUB-793,5,11.71,18.87,20.76,17.93,18.87,Tuberías,94.35
DEL,DEL1011,23/11/2025,20,PIN-661,5,11.09,16.85,18.54,16.01,16.85,Pinturas,84.25
DEL,DEL1011,23/11/2025,30,ACE-721,6,15.64,27.38,30.12,26.01,27.38,Acero,164.28
DEL,DEL1011,23/11/2025,40,TUB-623,3,21.27,31.96,35.16,30.36,31.96,Tuberías,95.88
DEL,DEL1012,16/01/2026,10,TUB-443,6,14.93,24.05,26.46,22.85,24.05,Tuberías,144.3
DEL,DEL1012,16/01/2026,20,PLY-330,4,38.32,64.73,71.2,61.49,64.73,Plywood,258.92
DEL,DEL1012,16/01/2026,30,ACE-725,5,10.16,16.76,18.44,15.92,16.76,Acero,83.8
DEL,DEL1013,28/02/2025,10,CEM-606,5,36.01,48.51,53.36,46.08,48.51,Cemento,242.55
DEL,DEL1013,28/02/2025,20,CEM-897,2,10.16,14.16,15.58,13.45,14.16,Cemento,28.32
DEL,DEL1014,14/05/2025,10,PLY-670,2,38.53,71.5,78.65,67.92,71.5,Plywood,143.0
DEL,DEL1014,14/05/2025,20,PLY-783,5,34.69,63.12,69.43,59.96,63.12,Plywood,315.6
DEL,DEL1014,14/05/2025,30,CEM-727,5,24.56,30.42,33.46,28.9,30.42,Cemento,152.1
DEL,DEL1015,27/06/2025,10,ACE-560,5,24.18,52.55,57.8,49.92,52.55,Acero,262.75
DEL,DEL1015,27/06/2025,20,PLY-596,6,13.65,26.29,28.92,24.98,26.29,Plywood,157.74
DEL,DEL1015,27/06/2025,30,TUB-340,4,14.61,19.35,21.29,18.38,19.35,Tuberías,77.4
DEL,DEL1015,27/06/2025,40,PLY-254,3,16.19,30.26,33.29,28.75,30.26,Plywood,90.78
DEL,DEL1015,27/06/2025,50,PLY-524,2,29.29,57.6,63.36,54.72,57.6,Plywood,115.2
DEL,DEL1016,14/02/2025,10,CEM-498,5,19.55,23.31,25.64,22.14,23.31,Cemento,116.55
