Invoice No,Date,Line,Product Code,Invoice Quantity,Unit Cost,Net Unit Price,Price List,Price Limit,Price Std,Category Name,Total
DEL1000,12/05/2025,10,PLY-680,2,11.45,21.2,23.32,20.14,21.2,Plywood,42.4
DEL1001,17/08/2025,10,CEM-425,1,23.54,34.87,38.36,33.13,34.87,Cemento,34.87
DEL1001,17/08/2025,20,PLY-994,1,10.94,19.58,21.54,18.6,19.58,Plywood,19.58
DEL1001,17/08/2025,30,TUB-134,2,33.42,58.77,64.65,55.83,58.77,Tuberías,117.54
DEL1002,23/06/2026,10,PIN-721,3,22.66,32.27,35.5,30.66,32.27,Pinturas,96.81
DEL1002,23/06/2026,20,PLY-745,2,27.86,46.24,50.86,43.93,46.24,Plywood,92.48
DEL1002,23/06/2026,30,PIN-322,5,24.93,37.09,40.8,35.24,37.09,Pinturas,185.45
DEL1002,23/06/2026,40,PLY-998,2,26.73,49.94,54.93,47.44,49.94,Plywood,99.88
DEL1003,05/03/2025,10,PLY-614,5,32.14,46.19,50.81,43.88,46.19,Plywood,230.95
DEL1003,05/03/2025,20,ELÉ-577,2,26.87,47.71,52.48,45.32,47.71,Eléctrico,95.42
DEL1003,05/03/2025,30,PIN-407,1,34.61,45.53,50.08,43.25,45.53,Pinturas,45.53
DEL1004,27/06/2026,10,PIN-408,2,7.84,11.25,12.38,10.69,11.25,Pinturas,22.5
DEL1005,31/03/2026,10,PLY-821,3,25.34,42.43,46.67,40.31,42.43,Plywood,127.29
DEL1006,22/10/2025,10,PLY-281,2,16.16,26.37,29.01,25.05,26.37,Plywood,52.74
DEL1006,22/10/2025,20,TUB-559,2,28.67,41.33,45.46,39.26,41.33,Tuberías,82.66
DEL1007,27/09/2025,10,ACA-711,5,28.8,44.1,48.51,41.89,44.1,Acabados,220.5
DEL1008,01/01/2026,10,PIN-796,4,30.98,50.33,55.36,47.81,50.33,Pinturas,201.32
DEL1008,01/01/2026,20,CEM-601,3,19.33,30.71,33.78,29.17,30.71,Cemento,92.13
DEL1009,03/03/2026,10,PLY-667,5,13.46,20.22,22.24,19.21,20.22,Plywood,101.1
DEL1009,03/03/2026,20,CEM-780,5,34.61,58.12,63.93,55.21,58.12,Cemento,290.6
DEL1009,03/03/2026,30,TUB-966,4,21.03,36.39,40.03,34.57,36.39,Tuberías,145.56
DEL1010,02/10/2025,10,TUB-802,1,21.14,32.04,35.24,30.44,32.04,Tuberías,32.04
DEL1010,02/10/2025,20,CEM-261,1,24.72,40.25,44.28,38.24,40.25,Cemento,40.25
DEL1011,05/02/2026,10,ACE-106,5,38.69,52.14,57.35,49.53,52.14,Acero,260.7
DEL1011,05/02/2026,20,PIN-908,1,5.31,9.35,10.29,8.88,9.35,Pinturas,9.35
DEL1012,07/08/2025,10,CEM-136,5,29.6,49.61,54.57,47.13,49.61,Cemento,248.05
DEL1012,07/08/2025,20,ACE-894,2,13.31,21.4,23.54,20.33,21.4,Acero,42.8
