Invoice No,Date,Line,Product Code,Invoice Quantity,Unit Cost,Net Unit Price,Price List,Price Limit,Price Std,Category Name,Total
PAL1000,25/04/2025,10,PLY-718,4,21.15,31.55,34.71,29.97,31.55,Plywood,126.2
PAL1001,24/02/2025,10,PIN-832,5,21.61,28.37,31.21,26.95,28.37,Pinturas,141.85
PAL1001,24/02/2025,20,CEM-403,5,29.33,38.19,42.01,36.28,38.19,Cemento,190.95
PAL1001,24/02/2025,30,SEG-800,4,27.31,46.34,50.97,44.02,46.34,Seguridad,185.36
PAL1001,24/02/2025,40,PIN-202,5,7.28,12.43,13.67,11.81,12.43,Pinturas,62.15
PAL1002,07/03/2025,10,CEM-862,4,32.35,42.44,46.68,40.32,42.44,Cemento,169.76
PAL1002,07/03/2025,20,PLY-654,5,28.9,53.07,58.38,50.42,53.07,Plywood,265.35
PAL1002,07/03/2025,30,PIN-151,5,37.65,53.21,58.53,50.55,53.21,Pinturas,266.05
PAL1003,22/10/2025,10,TUB-335,2,33.28,51.45,56.6,48.88,51.45,Tuberías,102.9
PAL1003,22/10/2025,20,TUB-590,1,15.8,23.87,26.26,22.68,23.87,Tuberías,23.87
PAL1004,06/07/2025,10,TUB-746,2,24.38,44.44,48.88,42.22,44.44,Tuberías,88.88
PAL1005,07/05/2026,10,CEM-938,4,20.69,31.35,34.49,29.78,31.35,Cemento,125.4
PAL1005,07/05/2026,20,PIN-481,1,15.93,28.74,31.61,27.3,28.74,Pinturas,28.74
PAL1006,01/07/2025,10,TUB-898,4,7.2,9.39,10.33,8.92,9.39,Tuberías,37.56
PAL1006,01/07/2025,20,PLY-164,4,27.92,38.71,42.58,36.77,38.71,Plywood,154.84
PAL1006,01/07/2025,30,TUB-176,3,24.64,39.03,42.93,37.08,39.03,Tuberías,117.09
PAL1007,14/01/2025,10,ACE-931,3,26.71,42.96,47.26,40.81,42.96,Acero,128.88
PAL1007,14/01/2025,20,TUB-445,1,22.01,37.68,41.45,35.8,37.68,Tuberías,37.68
PAL1008,16/02/2026,10,PLY-152,4,20.87,27.88,30.67,26.49,27.88,Plywood,111.52
PAL1008,16/02/2026,20,PLY-527,5,25.74,33.93,37.32,32.23,33.93,Plywood,169.65
PAL1008,16/02/2026,30,TUB-572,1,20.23,35.76,39.34,33.97,35.76,Tuberías,35.76
PAL1008,16/02/2026,40,CEM-438,2,37.05,67.93,74.72,64.53,67.93,Cemento,135.86
PAL1009,09/05/2026,10,TUB-731,1,32.08,47.24,51.96,44.88,47.24,Tuberías,47.24
